,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,2505,0
1,1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1466,0
2,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,157,1
3,1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1400,0
4,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,925,1
5,0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,6104,1
6,1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1550,0
7,0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,2609,0
8,0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,2646,1
9,1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3022,0
10,1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,4823,0
11,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,2836,0
12,1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,4693,0
13,1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,4265,1
14,1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,2337,0
15,0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,5959,0
16,0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,46,0
17,1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,5704,0
18,0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,4416,1
19,0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1433,0
20,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,3340,1
21,1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,1651,0
22,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,1609,1
23,0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.9,3041,0
24,1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,59.6,2567,0
25,0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.3,959,0
26,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4019,1
27,1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,2592,1
28,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,5135,0
29,0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,184,1
30,0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,96.35,5354,0
31,1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,1360,0
32,0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,66.15,1449,0
33,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,1610,0
34,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,3815,0
35,0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,5644,0
36,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,2742,1
37,0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,3073,0
38,1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3074,1
39,0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,202,1
40,1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,49.55,4024,0
41,0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,4118,0
42,0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,3572,0
43,0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,4105,0
44,0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,6503,0
45,0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,3348,0
46,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,49.25,6481,0
47,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,809,1
48,1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,79.75,3599,0
49,0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.15,3625,0
50,0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,3285,0
51,0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,789,1
52,0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,69.5,1275,0
53,0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,5113,1
